evidence_id,stage,category,subject,method,reference,result,status,supported_claim_ids,limitations
E01,P2,state algebra,primitive-to-conservative conversion and ideal-gas state consistency,unit identities,P2 tests,thermodynamic/state algebra identities pass,verified,C01,perfect-gas thermodynamics
E02,P3,flux,physical Euler flux implementation,unit identities,P3 tests,Euler flux identities pass,verified,C01,inviscid Euler model
E03,P5,flux,"Steger-Warming FVS with eigenvalues lambda1=u-a, lambda2=u, lambda3=u+a",splitting and interface tests,P5 tests,implementation verification passes,verified,C03;C09,does not establish a universally superior flux
E04,P4,geometry,quasi-1D area source,"variable-area formulation, static constant-pressure well-balanced test, constant-area reduction",P4 tests,area formulation passes controlled checks,verified,C01;C02,quasi-one-dimensional model
E05,P9,boundaries,supersonic inflow/outflow and subsonic total-condition inflow/static-pressure outlet,boundary unit and integration tests,P9 tests,physical boundary contracts pass,verified on tested rightward regimes,C06,not arbitrary multidirectional boundary flow
E06,P10.1,conservation,"global mass, momentum, and energy balance",discrete conservation ledger,P10.1 accepted evidence,global conservation identities close,verified,C01,tested discrete configurations
E07,P6,source terms,wall friction and wall heat source,analytical and algebraic source checks,P6 tests,wall sources pass,analytically / algebraically verified,C07,prescribed wall source models
E08,P7,source terms,"fuel injection mass, momentum, and energy source accounting",analytical integral and accounting tests,P7 tests,source formulation passes,analytically verified source formulation,C07,not physical fuel-atomization validation
E09,P8,source terms,prescribed burn rate and LHV heat-release source,controlled source-term tests,P8 tests,prescribed energy mapping passes,controlled source-term verification,C07,"not chemistry, species, or flame validation"
E10,P10.1,source terms,wall + fuel + combustion + quasi-1D source superposition,combined ledger identity,P10.1 accepted evidence,source sum equals combined source,verified,C01;C07,instantaneous prescribed-source identity
E11,P10.2,spatial convergence,smooth subsonic/supersonic Rusanov and Steger-Warming solutions at N=40/80/160,grid refinement against analytical solution,P10.2 accepted evidence,approximately first-order convergence,verified on tested smooth benchmark,C02;C03;C09,smooth benchmark only; no equivalent shock convergence closure
E12,P10.2/P10.3,steady convergence,all formal P10.2 and P10.3 steady cases,normalized residual gate,P10.2 and P10.3 accepted evidence,residual <= 1e-8,verified for tested benchmarks,C02;C03;C04,tested benchmarks only
E13,P10.3,CFL sensitivity,"CFL=0.1, 0.2, and 0.4 at N=80",converged-field difference relative to spatial error,P10.3 accepted evidence,converged discrete steady state materially insensitive,verified within tested CFL range,C04,does not establish a universal stability limit
E14,P10.3,temporal convergence,SSP-RK3 on y'=-y,dt refinement against exp(-1),"P10.3 orders 3.0578255193509354, 3.0288865949946873, 3.014435458873415",approximately third-order,verified on tested scalar ODE,C05,not a complete transient-CFD temporal-order study
E15,P10.3,scheme comparison,Rusanov versus Steger-Warming,implemented benchmark comparison,P10.3 accepted evidence,quantitative comparison complete,benchmark-specific comparison complete,C09,no universal winner established
E16,P10.1-P10.4,reproducibility,"exact SHA, standard CI, dedicated workflows, and artifact provenance",immutable registry and runtime Git gates,accepted evidence registry,provenance chain is auditable,verified,C01;C02;C03;C04;C05;C06;C07;C08;C09,workflow evidence is tied to recorded revisions
